policy_id,company_id,policy_type,coverage_amount,premium_cost,start_date,end_date,company_name,industry,company_size,revenue,location,founded_year,risk_score,score_date,num_claims,avg_claim_amount,last_claim_date,claim_approval_rate
140,65,Liability,679007.66,14086.37,2023-06-10,2025-06-09,Love PLC,Tech,Small,165095344.53,East Wendy,1978,36.27,2025-03-19,0.0,0.0,2000-01-01,0.0
141,66,Cyber,3181819.95,17610.7,2021-09-12,2024-09-11,Perez-Ferguson,Tech,Medium,46572646.37,Clarkville,1952,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
142,66,Home,3701848.11,16167.88,2021-01-21,2024-01-21,Perez-Ferguson,Tech,Medium,46572646.37,Clarkville,1952,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
143,66,Home,1481969.41,3960.07,2021-06-18,2023-06-18,Perez-Ferguson,Tech,Medium,46572646.37,Clarkville,1952,100.0,2025-04-01,0.0,0.0,2000-01-01,0.0
144,67,Auto,3778012.28,16233.28,2023-02-17,2026-02-16,"Moore, Smith and Lee",Manufacturing,Large,403076520.57,Connieburgh,1979,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
145,67,Property,4953475.2,8546.04,2022-09-29,2024-09-28,"Moore, Smith and Lee",Manufacturing,Large,403076520.57,Connieburgh,1979,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
146,67,Auto,1922888.62,15640.05,2024-02-09,2027-02-08,"Moore, Smith and Lee",Manufacturing,Large,403076520.57,Connieburgh,1979,100.0,2025-03-28,0.0,0.0,2000-01-01,0.0
147,68,Cyber,1769937.35,18649.77,2023-10-06,2026-10-05,Lindsey Group,Manufacturing,Small,46529815.4,Farleychester,1950,100.0,2025-04-09,0.0,0.0,2000-01-01,0.0
148,69,Home,4306222.48,8865.38,2020-07-04,2022-07-04,Smith Ltd,Tech,Large,296131646.3,Daltonmouth,1957,100.0,2025-04-02,0.0,0.0,2000-01-01,0.0
149,70,Cyber,3779268.23,15213.59,2022-07-09,2024-07-08,Sutton PLC,Healthcare,Small,195338744.63,Ryanburgh,1954,100.0,2025-03-31,0.0,0.0,2000-01-01,0.0
150,71,Cyber,605306.96,18099.78,2023-12-04,2024-12-03,Bowers Group,Finance,Small,91505537.39,West Julie,2015,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
151,71,Liability,2575736.62,16615.92,2020-12-24,2022-12-24,Bowers Group,Finance,Small,91505537.39,West Julie,2015,100.0,2025-03-30,0.0,0.0,2000-01-01,0.0
152,72,Cyber,1668243.05,17962.7,2022-11-09,2024-11-08,Chen and Sons,Healthcare,Medium,11325308.11,Fullerside,2012,98.52,2025-04-02,0.0,0.0,2000-01-01,0.0
153,72,Auto,2007088.23,711.33,2021-09-20,2023-09-20,Chen and Sons,Healthcare,Medium,11325308.11,Fullerside,2012,98.52,2025-04-02,0.0,0.0,2000-01-01,0.0
154,73,Property,4536371.68,2280.09,2023-01-19,2024-01-19,Murray Group,Healthcare,Large,205710742.83,North Courtneyton,1966,100.0,2025-04-07,2.0,143365.595,2023-12-04,0.5
155,73,Liability,1664636.82,19026.21,2022-11-04,2023-11-04,Murray Group,Healthcare,Large,205710742.83,North Courtneyton,1966,100.0,2025-04-07,3.0,206109.66666666666,2023-08-30,0.3333333333333333
156,74,Auto,4757975.02,11682.04,2021-02-28,2024-02-28,"Rasmussen, Dixon and Weiss",Manufacturing,Large,356360098.49,Lake Teresa,2010,100.0,2025-04-11,0.0,0.0,2000-01-01,0.0
157,75,Auto,3196002.34,9244.69,2020-11-19,2021-11-19,"Garcia, Russell and Allison",Healthcare,Medium,184961720.33,Port Andrew,2002,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
158,75,Home,1536732.78,6908.96,2023-11-15,2024-11-14,"Garcia, Russell and Allison",Healthcare,Medium,184961720.33,Port Andrew,2002,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
159,75,Property,3395340.43,15171.3,2024-02-22,2025-02-21,"Garcia, Russell and Allison",Healthcare,Medium,184961720.33,Port Andrew,2002,100.0,2025-03-22,2.0,357114.04,2024-09-17,1.0
160,76,Home,3978737.31,15897.55,2021-08-01,2022-08-01,Rogers-Burton,Healthcare,Small,195104883.2,South Ericshire,1962,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
161,77,Auto,546909.9,10141.2,2020-10-11,2023-10-11,"Lozano, Horne and Gaines",Retail,Medium,15734885.7,East Samuel,2004,100.0,2025-04-04,3.0,313076.2733333334,2023-08-11,0.3333333333333333
162,77,Home,382037.92,11215.81,2021-07-04,2024-07-03,"Lozano, Horne and Gaines",Retail,Medium,15734885.7,East Samuel,2004,100.0,2025-04-04,3.0,191311.43000000002,2023-07-23,0.3333333333333333
163,78,Liability,2263499.46,17810.23,2021-10-07,2024-10-06,Howell PLC,Retail,Medium,72334679.98,Brianview,1956,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
164,78,Home,1819483.56,2782.81,2023-10-13,2025-10-12,Howell PLC,Retail,Medium,72334679.98,Brianview,1956,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
165,79,Auto,800659.24,15349.46,2023-03-24,2026-03-23,Ward Group,Tech,Small,39181372.56,Port Lindseyburgh,2001,100.0,2025-03-25,1.0,374381.59,2025-10-29,0.0
166,79,Liability,3129268.51,2471.89,2021-03-08,2022-03-08,Ward Group,Tech,Small,39181372.56,Port Lindseyburgh,2001,100.0,2025-03-25,0.0,0.0,2000-01-01,0.0
167,79,Property,512123.35,14168.9,2021-10-24,2022-10-24,Ward Group,Tech,Small,39181372.56,Port Lindseyburgh,2001,100.0,2025-03-25,0.0,0.0,2000-01-01,0.0
168,80,Property,456538.73,16526.27,2022-01-13,2024-01-13,King Group,Finance,Small,347294818.96,Grahammouth,1981,43.98,2025-03-29,0.0,0.0,2000-01-01,0.0
169,81,Cyber,3560586.91,2086.3,2021-07-29,2023-07-29,Baird Ltd,Healthcare,Small,159591550.44,Kaylaborough,2018,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
170,81,Home,515704.8,19739.47,2022-03-14,2025-03-13,Baird Ltd,Healthcare,Small,159591550.44,Kaylaborough,2018,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
171,81,Property,1933926.9,7727.52,2020-09-26,2021-09-26,Baird Ltd,Healthcare,Small,159591550.44,Kaylaborough,2018,100.0,2025-03-27,0.0,0.0,2000-01-01,0.0
172,82,Home,4082717.88,18971.35,2020-05-31,2023-05-31,Pace-Jones,Retail,Small,66848706.95,Lowerystad,2004,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
173,82,Liability,4931405.21,15190.87,2020-12-23,2021-12-23,Pace-Jones,Retail,Small,66848706.95,Lowerystad,2004,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
174,82,Property,1943671.97,2128.26,2023-09-08,2026-09-07,Pace-Jones,Retail,Small,66848706.95,Lowerystad,2004,100.0,2025-03-22,0.0,0.0,2000-01-01,0.0
175,83,Auto,3908019.89,11388.88,2023-09-01,2026-08-31,Miller PLC,Healthcare,Medium,25254004.07,South Madelineborough,2009,100.0,2025-03-28,1.0,93075.99,2025-03-01,1.0
176,84,Cyber,2178687.85,18173.91,2023-02-16,2026-02-15,Morrow PLC,Healthcare,Small,84635757.21,Lake Patricia,2006,100.0,2025-04-08,0.0,0.0,2000-01-01,0.0
177,84,Liability,644867.66,10106.19,2022-08-27,2025-08-26,Morrow PLC,Healthcare,Small,84635757.21,Lake Patricia,2006,100.0,2025-04-08,1.0,105465.31,2025-03-12,0.0
178,85,Liability,155632.86,9638.88,2022-06-04,2025-06-03,Wilson-Jones,Manufacturing,Small,169339827.79,West Josefort,1956,27.56,2025-04-02,0.0,0.0,2000-01-01,0.0
179,86,Cyber,375886.05,2816.95,2022-10-18,2024-10-17,"Graham, Larson and Fletcher",Manufacturing,Small,367507027.39,Acevedoville,1961,28.37,2025-04-08,0.0,0.0,2000-01-01,0.0
180,87,Liability,675878.61,13159.6,2023-08-26,2025-08-25,Gallagher-Weaver,Healthcare,Small,163013793.13,Tommyview,2002,44.25,2025-03-24,0.0,0.0,2000-01-01,0.0
181,88,Home,3755619.91,11875.69,2023-12-21,2025-12-20,Williams and Sons,Retail,Medium,177555335.77,Lawsonborough,1977,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
182,88,Home,4814645.49,7809.98,2022-10-18,2024-10-17,Williams and Sons,Retail,Medium,177555335.77,Lawsonborough,1977,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
183,88,Property,1499989.22,17437.68,2022-07-02,2025-07-01,Williams and Sons,Retail,Medium,177555335.77,Lawsonborough,1977,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
184,89,Property,1195619.61,19282.84,2020-10-06,2022-10-06,Ford PLC,Retail,Small,94970770.11,Leeview,1971,58.7,2025-04-12,0.0,0.0,2000-01-01,0.0
185,89,Cyber,159556.93,19412.64,2021-06-09,2024-06-08,Ford PLC,Retail,Small,94970770.11,Leeview,1971,58.7,2025-04-12,0.0,0.0,2000-01-01,0.0
186,89,Cyber,311483.57,17877.29,2023-03-31,2025-03-30,Ford PLC,Retail,Small,94970770.11,Leeview,1971,58.7,2025-04-12,0.0,0.0,2000-01-01,0.0
187,90,Liability,2685735.43,19862.81,2023-05-19,2026-05-18,"Davis, Reed and Wells",Retail,Small,24799254.94,South Stanley,1999,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
188,90,Home,461603.17,11300.16,2022-05-23,2024-05-22,"Davis, Reed and Wells",Retail,Small,24799254.94,South Stanley,1999,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
189,90,Liability,4849582.42,10700.41,2023-10-23,2024-10-22,"Davis, Reed and Wells",Retail,Small,24799254.94,South Stanley,1999,100.0,2025-03-21,0.0,0.0,2000-01-01,0.0
190,91,Cyber,3184053.33,14067.1,2020-09-15,2021-09-15,Gregory-Hunt,Finance,Medium,289599243.08,Lake Todd,1986,100.0,2025-03-21,3.0,246050.55999999997,2021-04-25,0.3333333333333333
191,91,Property,2327251.22,12737.38,2024-02-09,2027-02-08,Gregory-Hunt,Finance,Medium,289599243.08,Lake Todd,1986,100.0,2025-03-21,3.0,263626.91,2027-01-19,0.3333333333333333
192,92,Liability,2963140.13,18072.58,2021-03-07,2023-03-07,Vargas and Sons,Retail,Large,152396224.67,Carolborough,2012,100.0,2025-03-25,1.0,19304.92,2022-07-27,0.0
193,92,Cyber,322687.26,5978.78,2021-04-03,2022-04-03,Vargas and Sons,Retail,Large,152396224.67,Carolborough,2012,100.0,2025-03-25,0.0,0.0,2000-01-01,0.0
194,92,Home,4757016.27,17860.14,2024-03-19,2026-03-19,Vargas and Sons,Retail,Large,152396224.67,Carolborough,2012,100.0,2025-03-25,0.0,0.0,2000-01-01,0.0
195,93,Liability,2332718.09,12592.59,2022-03-16,2023-03-16,Mills Group,Healthcare,Small,144706527.42,North Cody,1987,100.0,2025-04-08,0.0,0.0,2000-01-01,0.0
196,93,Liability,1459167.8,4168.36,2024-01-04,2026-01-03,Mills Group,Healthcare,Small,144706527.42,North Cody,1987,100.0,2025-04-08,2.0,241963.74,2025-07-22,0.5
197,94,Liability,2372122.18,7390.37,2020-12-29,2023-12-29,Ellis-Holmes,Healthcare,Small,195032123.19,Cynthiaview,2019,100.0,2025-03-19,3.0,323519.96,2022-08-16,0.6666666666666666
198,94,Auto,2959914.95,2015.83,2020-05-05,2023-05-05,Ellis-Holmes,Healthcare,Small,195032123.19,Cynthiaview,2019,100.0,2025-03-19,0.0,0.0,2000-01-01,0.0
199,95,Auto,4874534.56,19731.11,2021-10-18,2022-10-18,Santiago and Sons,Tech,Large,150669700.93,Port Susan,1990,100.0,2025-04-10,0.0,0.0,2000-01-01,0.0
200,95,Cyber,3520992.4,10953.88,2022-04-07,2023-04-07,Santiago and Sons,Tech,Large,150669700.93,Port Susan,1990,100.0,2025-04-10,1.0,54478.83,2022-12-08,1.0
201,95,Property,1616685.32,16369.0,2022-11-16,2024-11-15,Santiago and Sons,Tech,Large,150669700.93,Port Susan,1990,100.0,2025-04-10,1.0,224258.77,2023-01-23,1.0
202,96,Cyber,3455182.75,3671.03,2022-03-19,2025-03-18,Schultz Ltd,Tech,Small,159206184.67,North Mikemouth,2011,100.0,2025-04-08,2.0,194384.40000000002,2024-04-21,0.5
203,97,Cyber,4563543.2,16539.48,2022-03-20,2025-03-19,Sosa-Rodriguez,Manufacturing,Large,219495099.0,Alexandertown,1970,100.0,2025-04-03,1.0,135352.37,2024-04-06,1.0
204,97,Auto,4754019.58,14651.53,2023-09-10,2025-09-09,Sosa-Rodriguez,Manufacturing,Large,219495099.0,Alexandertown,1970,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
205,97,Liability,3105734.46,8655.74,2020-10-13,2021-10-13,Sosa-Rodriguez,Manufacturing,Large,219495099.0,Alexandertown,1970,100.0,2025-04-03,0.0,0.0,2000-01-01,0.0
206,98,Home,4670369.57,17388.25,2022-04-20,2024-04-19,Sullivan Group,Tech,Large,12498642.39,Reyeshaven,1960,100.0,2025-03-31,0.0,0.0,2000-01-01,0.0
207,99,Property,321571.48,1014.16,2023-08-24,2026-08-23,Haley-Bell,Healthcare,Small,35893942.48,East Julia,1958,64.44,2025-04-06,0.0,0.0,2000-01-01,0.0
208,99,Cyber,1944670.5,16305.79,2020-10-31,2022-10-31,Haley-Bell,Healthcare,Small,35893942.48,East Julia,1958,64.44,2025-04-06,0.0,0.0,2000-01-01,0.0
